Metrics	Mean	Harmonic Mean	Median	Q25	Q75	Sample Variance	Sample Standard Deviation	Population Variance	Population Standard Deviation
Number of isoform	5.426873410291528	2.4270043645037567	4.0	2.0	7.0	38.50969406390382	6.2056179437590115	38.50781039661445	6.20546617077351
Jaccard Index	0.6364314717703728	0.0	0.5743473721813805	0.3648918569037921	1.0	0.10196473279081508	0.31931917072235905	0.10195974527698262	0.3193113610208422
Dice coefficient	0.6609100340646761	0.0	0.6265647003598811	0.4	1.0	0.09544624271022044	0.308943753311538	0.09544157404250814	0.308936197365262
Overlap coefficient	0.9953297271745176	0.0	1.0	1.0	1.0	0.0009988122615266302	0.03160399122779638	0.0009987634055169683	0.03160321827784266
Redundance metric	0.6317804421974631	0.0	0.6537684008872757	0.34510290404040406	1.0	0.11954687796333156	0.3457555176180585	0.11954103043457187	0.34574706135348693
Stdev number GO term	25.093821484173407	0.0	14.142135623730951	0.0	37.2409571424915	1195.0880577464002	34.570045671743046	1195.0296010814743	34.56920017995028
